Sujeto,Condicion,Pot_Mu_C3,Pot_Mu_C4,Pot_Mu_Cz,Pot_Beta_C3,Pot_Beta_C4,Pot_Beta_Cz,Coh_Mu_C3_C4,Coh_Mu_C3_Cz,Coh_Mu_C4_Cz,Coh_Beta_C3_C4,Coh_Beta_C3_Cz,Coh_Beta_C4_Cz,Tipo
S001,Derecha,3.306862936317726e-11,2.8537443270146082e-11,3.4151985914707296e-11,8.826269601480295e-12,8.399119555408314e-12,9.569256072528758e-12,0.60777388884737,0.8425835091860903,0.8200793382135321,0.5501514349044776,0.8268250079218639,0.6834189848881803,Imaginación Motora
S001,Reposo,3.105931407645602e-11,2.168272413346834e-11,3.05343101603175e-11,1.2794354197779414e-11,7.969745849080235e-12,1.1305179940243481e-11,0.7026826586366053,0.8173020797176165,0.850840040113682,0.6692493003539493,0.8494683080744875,0.8174614116573669,Imaginación Motora
S001,Izquierda,3.244345812477517e-11,2.7117070625477998e-11,3.483904626361023e-11,8.441985378246004e-12,6.591918056243066e-12,7.89799826090393e-12,0.7361198691083601,0.8297471856842868,0.922997695747084,0.548568924496051,0.7255825346909035,0.78495917568058,Imaginación Motora
S001,Reposo,3.012842591855492e-11,2.8714488707757455e-11,3.223302050087558e-11,8.385303639719329e-12,7.612996037876142e-12,8.640117470294297e-12,0.5245335307520236,0.8062252295007983,0.7520718197433724,0.5672073812843798,0.7866383797987279,0.7170708894223813,Imaginación Motora
S001,Izquierda,3.225722180006632e-11,1.758506240725504e-11,2.746542290746004e-11,9.115796145422904e-12,7.4816230354446e-12,9.094855295197308e-12,0.7603495631856461,0.8953600777697555,0.8383129179644637,0.5462828112081229,0.7926815452670848,0.7280465951803673,Imaginación Motora
S001,Reposo,3.520715492086078e-11,2.510903967590901e-11,2.08597844757569e-11,1.0114881588966256e-11,6.9395108159731034e-12,8.472433588926047e-12,0.5922506875107519,0.770251658120298,0.7487906652438265,0.5593450821921594,0.8241310317360867,0.7158246692895813,Imaginación Motora
S001,Derecha,2.715852839628091e-11,2.8281326496576627e-11,3.0349798601567776e-11,8.565614811452645e-12,6.859197630554217e-12,8.448207206380745e-12,0.813983308103575,0.9260321964474922,0.8770671931884795,0.5850752003275904,0.8097682062044596,0.7638966659996663,Imaginación Motora
S001,Reposo,4.285552901100113e-11,3.4084587482114535e-11,4.918185719859275e-11,9.409989449624919e-12,9.02166762884834e-12,9.688824394907093e-12,0.757219024736232,0.8580697496874143,0.9452212559544793,0.6217731560545902,0.7897138970368828,0.8274392926235775,Imaginación Motora
S001,Derecha,1.6627704152622408e-11,2.0226007826926568e-11,2.1821706070775688e-11,6.952074132319418e-12,4.866986237794137e-12,6.721562182069399e-12,0.7296361250540365,0.862282177148995,0.8689507081144419,0.5493938669335304,0.7862356825125197,0.7260020372002726,Imaginación Motora
S001,Reposo,3.0999732015456035e-11,1.5034360866842193e-11,2.187910742802384e-11,1.0751132534080101e-11,7.43826339126114e-12,9.809444312575845e-12,0.8617600187386487,0.9191213624820778,0.8388172101004256,0.601725340426798,0.7977480295554249,0.7545404860779984,Imaginación Motora
S001,Izquierda,2.6672238566785897e-11,1.6075893962699563e-11,2.940184461389123e-11,9.768160799231616e-12,7.94718289719943e-12,1.0830800368595715e-11,0.6380411135191094,0.8181176392842802,0.7988691004766552,0.6222023911911866,0.7576700672797453,0.831484174839349,Imaginación Motora
S001,Reposo,6.727169109942651e-11,4.1292447379907807e-11,5.157160262030978e-11,2.2927002662198854e-11,1.542432150000052e-11,1.982754627084455e-11,0.7618643430967887,0.8682098930510336,0.7994631723644733,0.6480483659759677,0.8428849772908338,0.8077689204594894,Imaginación Motora
S001,Derecha,2.683122329525285e-11,3.621395235765469e-11,3.289658928116404e-11,1.4624237406050607e-11,1.1026991114030004e-11,1.1150518138189653e-11,0.6640074561409531,0.8231973297968214,0.8886418897623115,0.5069189824451542,0.7533240723262412,0.7103838282989654,Imaginación Motora
S001,Reposo,2.8853121630466824e-11,1.3665414580877915e-11,1.7070277517958034e-11,1.328987997388806e-11,8.982805184788534e-12,1.2357083422002047e-11,0.33463542774685806,0.7631876536372255,0.4931366306059395,0.5495401210940851,0.7342401904283321,0.7774051477332684,Imaginación Motora
S001,Izquierda,3.7780964856099136e-11,3.5739018511128135e-11,3.820000897886863e-11,1.3019938535459191e-11,7.105481804221385e-12,1.0767536455498045e-11,0.6132164222893467,0.7431061491683137,0.9015069092253791,0.6221444600343684,0.7984742324769062,0.849817604935747,Imaginación Motora
S001,Reposo,3.700706484269005e-11,2.2429202358991273e-11,2.6508609036031466e-11,1.0548936878008124e-11,7.953458882700995e-12,1.0293612830960287e-11,0.44247469946342954,0.839134870983662,0.6949649806602185,0.6379075215117187,0.8228536997622148,0.8122671343451103,Imaginación Motora
S001,Derecha,2.9604577771039954e-11,2.182423949630052e-11,3.137607806528507e-11,1.2727529455871415e-11,8.378322696974772e-12,1.1742777291795193e-11,0.7270675944396542,0.8468848188316865,0.8918343285497501,0.5882280943537431,0.8486682275139655,0.6964813314789441,Imaginación Motora
S001,Reposo,2.875281120168134e-11,1.66973383108087e-11,2.1005764564123592e-11,1.2292299614600392e-11,9.435716607785124e-12,1.0753658153334126e-11,0.569325888239441,0.7662616180083484,0.807192242164259,0.5892575945458184,0.7464378263768552,0.8070458461996772,Imaginación Motora
S001,Izquierda,4.8690077231301776e-11,3.69543837123057e-11,4.917865510126053e-11,1.6693344051026407e-11,9.615820868039925e-12,1.5128372778063808e-11,0.792913958433894,0.9050360381624872,0.9070981508394429,0.6179031595713093,0.7778101356476392,0.7346550845771329,Imaginación Motora
S001,Reposo,3.136284829216161e-11,2.6606604864830013e-11,3.198082361944764e-11,9.027804919820824e-12,6.766704416504479e-12,8.774758329928911e-12,0.7648170850648526,0.8251518025210658,0.8300860764661704,0.5149143974462848,0.7673843696311887,0.7306273995378341,Imaginación Motora
S001,Izquierda,2.2838219061130374e-11,1.6870072318353537e-11,2.5967506342296188e-11,1.1369788543088104e-11,9.824469490982616e-12,1.1743448456889048e-11,0.7573206955337978,0.8715354249735949,0.8139916660711755,0.6192552642860862,0.8061227128774596,0.787567869545293,Imaginación Motora
S001,Reposo,2.6847593047177344e-11,1.6534741108711104e-11,1.8665627631675442e-11,1.275621767259949e-11,9.499053183383842e-12,9.02076686154992e-12,0.4380752293154301,0.6732721772704895,0.7067811970909449,0.4372235230409925,0.7233304556768535,0.7235519446741968,Imaginación Motora
S001,Derecha,3.6012828322578613e-11,2.3386699532265302e-11,3.898351532658583e-11,1.1343472086413806e-11,8.38475916005451e-12,1.0473830495334157e-11,0.6337171891558097,0.8670965204032793,0.7859448030892419,0.5807810680999778,0.8319854563721096,0.7768743281144317,Imaginación Motora
S001,Reposo,5.560676019804045e-11,3.111775232489076e-11,4.301081295909411e-11,1.7734876703139826e-11,9.702862988751453e-12,1.4766392263571938e-11,0.6126124319894515,0.8132477711796724,0.8450788477782276,0.6274543565356662,0.8313040162137956,0.8046702044125492,Imaginación Motora
S001,Izquierda,3.1795873780946126e-11,1.7896874686655744e-11,3.580545284417999e-11,1.1799442319701082e-11,8.974074797037521e-12,1.1508551759892969e-11,0.6866761587761957,0.8282855199669146,0.8290905180452554,0.5942691052675289,0.7032106735077568,0.7791197290752399,Imaginación Motora
S001,Reposo,4.229316704911609e-11,3.626088769667692e-11,3.851598479297106e-11,1.1898072683819893e-11,9.583011658783997e-12,1.069565226381129e-11,0.7018743117057964,0.8142980145390735,0.8570464309083936,0.5125120178140652,0.7478193215340765,0.7558753720974545,Imaginación Motora
S001,Derecha,1.896518258829172e-11,3.7337451565383215e-11,2.4867909451067396e-11,1.2295020987903764e-11,1.1475982402008995e-11,1.1295795242768017e-11,0.5092783795189745,0.6850165567489057,0.8234984654307163,0.5602483106423741,0.7603311738808732,0.74978637308843,Imaginación Motora
S001,Reposo,6.31077403520159e-11,3.47565338707773e-11,3.8623585547240605e-11,9.313796263283114e-12,8.41791786738729e-12,6.962460355070741e-12,0.6455254322965867,0.8056764774879169,0.816334477019942,0.5812534043397036,0.7348940537672177,0.7214041724415977,Imaginación Motora
S001,Izquierda,4.186518526791204e-11,2.7851076005954528e-11,3.703693613358843e-11,1.1431657457252868e-11,8.348142104735996e-12,1.0659986958165333e-11,0.7215317446483734,0.830931868332244,0.873068623614565,0.6189401869108007,0.8328657772684185,0.768190600089378,Imaginación Motora
