Sujeto,Archivo,Condicion,Mu_C3,Mu_Cz,Mu_C4,Beta_C3,Beta_Cz,Beta_C4,ERD_Mu_C3,ERD_Mu_C4,Entropy_C3,Entropy_Cz,Entropy_C4,Hjorth_Activity_C3,Hjorth_Mobility_C3,Hjorth_Complexity_C3,Coh_Mu_C3_C4,Coh_Beta_C3_C4
S001,S001R03.edf,Reposo,2.8824610780157714e-11,2.7956426551004155e-11,1.8800073128765344e-11,7.007411409926558e-12,8.118983547306273e-12,7.218073157885242e-12,613.3344498966123,481.5092521911196,0.6886934012093219,0.6978681150392639,0.7079516987056117,3.375340643588365e-10,0.5914921429109933,1.3434855410302067,0.6577664346569254,0.5887703036610044
S001,S001R03.edf,Derecha,2.6831277126756763e-11,2.200585934216547e-11,1.3423068191081175e-11,1.152903015406653e-11,1.0215841228058273e-11,6.514260002390479e-12,465.33911546197044,438.5516770692577,0.7003277216037441,0.7235441136108943,0.7321441899948405,3.8012855981759924e-10,0.6126385544315375,1.2733454423187711,0.7226476640414494,0.7366497289652527
S001,S001R03.edf,Reposo,3.055682422893242e-11,2.8542584223306267e-11,1.712094567221295e-11,9.792817060648317e-12,9.536298470827371e-12,7.43408482286893e-12,573.8337563427667,459.56492308274744,0.7041475932459901,0.7040027302039493,0.7171191912634399,3.947628879311878e-10,0.5994882411884651,1.3607008194425436,0.7264844157092141,0.571752372639733
S001,S001R03.edf,Izquierda,3.6145828913209995e-11,2.8253186034350097e-11,1.5828368139285114e-11,8.499538930783042e-12,8.851951781558076e-12,7.567937584395189e-12,692.6617692725748,451.46557543740596,0.6777412479080202,0.6987522969097452,0.7218123365345426,3.5530295009894725e-10,0.5976853209940217,1.299446317163457,0.8051194906992211,0.5987022740478849
S001,S001R03.edf,Reposo,4.194920712262467e-11,4.360823447351643e-11,2.9964023803622355e-11,1.2385065887347447e-11,1.0117242890364415e-11,7.768880578201554e-12,522.6427031461544,597.1850776661909,0.6838264736636158,0.6749372954239784,0.6866915151953776,5.823956696062771e-10,0.5832924235449285,1.3252143062270372,0.740296888472471,0.5715810858004596
S001,S001R03.edf,Izquierda,2.2303952664215977e-11,3.049034316893862e-11,1.94800402590082e-11,7.28332837928366e-12,7.657825789743386e-12,6.0983982176539234e-12,547.0150073351857,573.5553189778859,0.7201764623941839,0.7145413074268062,0.7223551967401185,3.672483265738536e-10,0.5912728961628674,1.3518959639168637,0.8665975614769935,0.6394731275700606
S001,S001R03.edf,Reposo,3.2583815347386076e-11,3.3887419562976735e-11,3.8162450157443515e-11,1.1787023943406603e-11,1.136517031467369e-11,1.0920744576803403e-11,512.8419924125621,609.821676536843,0.6953859147287231,0.6892591555557968,0.6819451056221124,4.41097445762685e-10,0.6110918028553703,1.3102656243219513,0.5880577503738786,0.5618379037324828
S001,S001R03.edf,Derecha,2.7963036949941583e-11,2.698388253375778e-11,1.3783413232661693e-11,8.754890291291917e-12,7.822502652819997e-12,6.1102175499008046e-12,515.2570125498974,407.820451292343,0.6911698075345164,0.6842960007345936,0.7112363644788104,3.9792650434227073e-10,0.5890279137914188,1.3665553202965608,0.7323437470688741,0.5757042810255358
S001,S001R03.edf,Reposo,5.911855869299099e-11,6.035833041173391e-11,3.967424625980858e-11,1.3418480833632853e-11,9.985284965039597e-12,8.555931009190562e-12,690.2618324371241,706.6369136171982,0.6890372329776878,0.6521351682399051,0.6667506867087886,6.241817323115534e-10,0.5862054656282678,1.3079748955796902,0.7374629281281453,0.5428153577309762
S001,S001R03.edf,Derecha,2.845906288211097e-11,3.01358786164768e-11,2.1994103559464518e-11,1.1400318438950947e-11,1.3608683843729777e-11,1.0189942816394445e-11,479.89965636637334,433.11671758108946,0.716333546145795,0.7178006609434212,0.7256642115898456,3.9014971862247703e-10,0.6167296187492167,1.2779628517853714,0.805775762495407,0.6971925303526998
S001,S001R03.edf,Reposo,3.356102346297804e-11,2.3519559781965386e-11,1.678957004882414e-11,1.1496824847435677e-11,9.747929996037707e-12,7.351247818138803e-12,547.2468587793614,444.04273356909084,0.7074244565768866,0.7065626710166342,0.6971953720027056,4.435161696092802e-10,0.6207335047119654,1.2840476956154994,0.616348181130827,0.6063989216432781
S001,S001R03.edf,Izquierda,2.895245414327491e-11,2.8416389697863884e-11,2.2260981281116456e-11,9.752418213320754e-12,1.0458817355862786e-11,7.884648629245174e-12,535.3555362348502,536.4379862761455,0.6943575474864773,0.6923869406198685,0.6999104416122311,4.0209775950597676e-10,0.5832476489540716,1.3334585994346222,0.7704861103497967,0.6685229829872397
S001,S001R03.edf,Reposo,3.3325093066016626e-11,3.1359325670030565e-11,2.288556545696072e-11,7.774231340443798e-12,8.980106391918658e-12,7.228308063581554e-12,656.3632292848782,561.3130360671743,0.6969832583246764,0.6985484552615281,0.7164463006714777,4.1653839531588195e-10,0.5644309950475014,1.3974148089455116,0.8705875797135235,0.5630820802019261
S001,S001R03.edf,Izquierda,2.1940522404298097e-11,1.8991590095637062e-11,1.505210667447904e-11,1.0182676263850644e-11,1.1429863868218104e-11,6.4288002722429145e-12,468.6824858582622,454.17176600772564,0.7162896422477254,0.7400335249058623,0.7306764544381756,3.1073726908647046e-10,0.6373038625371896,1.2743118153930992,0.6810687713800079,0.6040686310337499
S001,S001R03.edf,Reposo,3.752123216655344e-11,3.2339836846598403e-11,1.9699967484084025e-11,9.216127230225328e-12,8.371293372745479e-12,7.74019602667962e-12,625.6171349641211,443.2557372840865,0.7019408865141893,0.7165956544147872,0.7312033925299329,4.681559620544232e-10,0.5931506333458104,1.3601685818668672,0.7576254677985432,0.49497802763000454
S001,S001R03.edf,Derecha,3.6466549438543705e-11,4.1975441084958084e-11,3.2114774004843617e-11,1.081849240937219e-11,1.1230955922084238e-11,8.161154311428597e-12,601.9661915619554,666.8139916563912,0.6893507183473391,0.6942756734231755,0.6935046756361014,4.0693015833173795e-10,0.607637780777618,1.3409966141342833,0.7460701278985865,0.6925819608559413
S001,S001R03.edf,Reposo,2.8776595823406858e-11,3.2087267907826995e-11,2.340795854489378e-11,1.121919476171547e-11,9.26943561853405e-12,7.510269785156258e-12,492.760759200741,516.5158340381937,0.694907048428936,0.6748063651787772,0.6969214019426057,4.248398360235707e-10,0.6083073214489716,1.2656211544412654,0.7597290102392154,0.5351093422079286
S001,S001R03.edf,Izquierda,2.6992020220926172e-11,2.538089559474601e-11,1.549098852432621e-11,8.668852324990502e-12,1.0794678758215621e-11,8.11919115049864e-12,537.3320296849773,389.9182838272843,0.6874358377128489,0.6912276846937848,0.6941249201831913,3.755036774931158e-10,0.5976969198541345,1.283962521339456,0.7145449855463023,0.6587443409897888
S001,S001R03.edf,Reposo,6.734338694011368e-11,5.4158370875694574e-11,3.542402006883014e-11,1.032985404006724e-11,1.0131140923519573e-11,8.620358117509885e-12,811.8980980227591,697.8881752862924,0.6618008848411733,0.6629421481655351,0.6603504649929222,5.083428893288022e-10,0.5723954203234258,1.3161774765419851,0.8280895926966733,0.5229142916433158
S001,S001R03.edf,Derecha,3.489281586139259e-11,3.962481359588682e-11,2.901571317500415e-11,9.271934629656467e-12,9.188662839353699e-12,6.978178337457139e-12,665.6049620542893,659.6324169398337,0.6893129937767964,0.6891268897223728,0.6714061497180146,3.768727148107523e-10,0.6184278752769189,1.281587703876424,0.7970409321472011,0.5464361897636283
S001,S001R03.edf,Reposo,1.8025171523930696e-11,2.0317671140250974e-11,1.8476246342976532e-11,9.901977044292496e-12,8.93114239635434e-12,6.243548620516058e-12,391.2710232920718,535.0929740357723,0.7330065421069982,0.7240045442490208,0.7175047896978075,3.070185276781949e-10,0.6534332129952266,1.267975246806926,0.4873961825463285,0.5640934227095683
S001,S001R03.edf,Derecha,3.596879097090047e-11,4.1018964568909106e-11,2.8859537996429707e-11,8.450254916146127e-12,1.0193007518187918e-11,8.326103288093913e-12,700.9899387801544,614.3243813706422,0.6823661109640128,0.6961016035446739,0.706439091640037,3.683513891002563e-10,0.5852772812916073,1.3354547467807838,0.700837054718323,0.5909351513593442
S001,S001R03.edf,Reposo,6.486947679334065e-11,5.2895494154071627e-11,7.482943062899731e-11,1.5879532493103045e-11,1.4017829278589193e-11,1.5662747186668537e-11,703.6629578224727,763.0564734973536,0.6647176719744179,0.6879949555873002,0.6667059049661638,5.572978545951117e-10,0.6055799135396209,1.2418670445471787,0.6993550941614401,0.5467679448552265
S001,S001R03.edf,Izquierda,6.44563432557492e-11,6.248400476100427e-11,4.3288425746393173e-11,1.3542739777068428e-11,1.2605454118567108e-11,9.189833291797787e-12,728.2886078799261,717.8735388306446,0.6563222144129576,0.6660018949513797,0.6508314608890151,6.388592379933797e-10,0.5736355063042015,1.2682818212366667,0.7302708175749104,0.6342816843422235
